,movie_name,director_average
658, 피끓는 청춘,1559859
659, 극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,0
660, 기억속에 퍼즐,7874
661, 노바디 웍스,34502
662, 들개들,0
663, 만찬,663
664, 뮤지엄 아워스,0
665, 베일을 쓴 소녀,0
666, 로봇,0
667, 리그렛,10935
668, 멋진 악몽,76985
669, 시간의 숲,163485
670," 아내, 애인 그리고 맛있는 섹스",0
671, 애딕티드,0
672, 점프 아쉰,2139
673, 크레이지 호스,5927
674, 킹메이커,77420
675, 픽쳐 미 : 모델 다이어리,0
676, 블라인드 디텍티브,11881
677, 유혹의 기술,0
678, 지젤,0
679, 투 러버스,29444
680, 에프게니 오네긴,0
681, 치한전철 속 불륜,1
682, 발칙한 러브스캔들,0
683, 넛잡: 땅콩 도둑들,15386
684, 디노타샤: 공룡대탐험,0
685, 사일런트 스크림,60457
686, 스위치: 부춘산거도,0
687, 스티븐 시걸의 비밀경찰,60
688, 인사이드 르윈 ,49814
689, 조선미녀삼총사,648625
690, 폴리스 스토리 2014,201
691, 화피 2,1400
692, 마이 플레이스,1915
693, 정사의 시작,1
694, 굿모닝 맨하탄,0
695, 또 하나의 약속,1425278
696, 레고 무비,1863136
697, 쇼킹잡 - 원스 어폰 어 포르노,0
698, 엘로이즈: 그녀들의 사랑,0
699, 중2병이라도 사랑이 하고 싶어! 극장판,15264
700, 퍼스트 나이트,0
701, 프랑켄슈타인: 불멸의 영웅,17
702, 프로즌 그라운드,0
703, 할리우드 폭로전,155504
704, SM작가,1438
705, 소울 오브 락,0
706, 호텔플라워즈,5
707, 관능의 법칙,644520
708, 그녀의 팬티스타킹,31
709, 로보캅,0
710, 르누아르,0
711, 마약전쟁,11930
712, 메콩호텔,5792
713, 메트로: 마지막 탈출,50
714, 명탐정 코난 : 탐정들의 진혼가 ,373478
715, 별일아니다,9430
716, 비밀과외,940
717, 사랑의 유효기간은 3년,0
718, 슈퍼노바 지구 탈출기,0
719, 신이 보낸 사람,2855
720, 연애 징크스!!!,14370
721, 체르노빌 다이어리,0
722, 충격! 번개 스와핑,38
723, 콜로니 : 지구 최후의 날,0
724, 해피엔딩 네버엔딩,28182
725, 그날 본 꽃의 이름을 우리는 아직 모른다,49813
726, 나오코의 신혼생활 백서,54
727, 독수리오형제,843
728, 디셈버,0
729, 맛있는 섹스의 기술,26
730, 순결한 키리코의 정사,16
731, 스타렛,0
732, 스턱 인 러브,749146
733, 아메리칸 허슬,115878
734, 알파: 바르셀로나 마피아  ,0
735, 어네스트와 셀레스틴,0
736, 우리별 일호와 얼룩소,0
737, 워리어스 레인보우: 항전의 시작,204
738, 전망 좋은 하우스 - 맛있는 섹스,1590
739, 찌라시: 위험한 소문,618520
740, 폼페이: 최후의 날,403857
741, 해피엔딩 프로젝트,30090
742, 행복한 사전,7097
743, 화이트 스톰,114453
744, 더 노즈,0
