,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
705,독수리오형제,일본,(주)쇼박스,843,0,12세이상관람가,코미디|액션|사극,2014-02-20,4,84,2014-03-05,0
706,호텔플라워즈,일본,(주)영화사 진진,5,0,15세이상관람가,드라마,2014-02-08,1,10,2014-02-21,0
707,코뿔소의 계절,이란,(주)미디어데이,0,0,12세이상관람가,SF|액션,2014-01-16,2,7,2014-01-29,133
708,한 번도 안 해본 여자,한국,(주)영진크리에이티브,2082,454775,청소년관람불가,액션|드라마|범죄,2014-01-16,66,917,2014-01-29,9722
710,발칙한 러브스캔들,미국,(주)팝엔터테인먼트,0,0,청소년관람불가|청소년관람불가,멜로/로맨스|코미디,2014-01-28,1,2,2014-02-10,0
711,스티븐 시걸의 비밀경찰,미국,블루미지,60,0,15세이상관람가,드라마,2014-01-29,5,642,2014-02-11,0
712,미스 좀비,일본,(주)액티버스엔터테인먼트,14595,0,15세이상관람가,멜로/로맨스|코미디,2014-01-16,2,10,2014-01-29,514
713,블라인드 디텍티브,홍콩,(주)소나무픽쳐스,11881,0,청소년관람불가,액션,2014-01-23,5,309,2014-02-05,1510
714,기억속에 퍼즐,영국,(주)영화사조아,7874,0,15세이상관람가,공포(호러),2014-01-23,1,25,2014-02-05,0
715,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,일본,(주)미디어데이,0,0,15세이상관람가,드라마|액션|스릴러|범죄,2014-01-23,176,4357,2014-02-05,57171
717,에프게니 오네긴,미국,(주)앤드플러스미디어웍스,0,0,15세이상관람가,스릴러,2014-01-25,2,20,2014-02-07,384
718,디노타샤: 공룡대탐험,미국,롯데쇼핑㈜롯데엔터테인먼트,0,1005456,전체관람가,액션,2014-01-29,124,2164,2014-02-11,23208
719,무간지옥 - 아웃 오브 인페르노,홍콩,(주)인스터피씨엠,151512,0,전체관람가,공연,2014-01-22,1,130,2014-02-04,0
720,만찬,한국,(주)영화사 빅,663,1693,전체관람가,애니메이션|어드벤처,2014-01-23,16,96,2014-02-05,1554
721,폼페이: 최후의 날,미국,더컨텐츠콤(주),403857,1076557,12세이상관람가,드라마|액션|스릴러,2014-02-20,483,76924,2014-03-05,1199736
722,슈퍼노바 지구 탈출기,미국,㈜인디스토리,0,0,15세이상관람가,가족|멜로/로맨스|드라마,2014-02-13,167,2218,2014-02-26,36760
723,레고 무비,미국,롯데쇼핑㈜롯데엔터테인먼트,1863136,7027234,15세이상관람가|15세이상관람가,액션|어드벤처|드라마,2014-02-06,265,6583,2014-02-19,176000
724,점프 아쉰,대만,(주)영화사 빅,2139,72504,전체관람가|전체관람가,애니메이션|어드벤처|코미디|가족|SF,2012-04-19,8,46,2012-05-02,601
725,뮤지엄 아워스,오스트리아 ,워너브러더스 코리아(주),0,0,전체관람가|전체관람가,애니메이션|코미디|액션|가족,2014-01-23,4,138,2014-02-05,2842
726,코드네임 더 몰,프랑스,찬란,0,0,15세이상관람가,드라마,2014-01-09,1,50,2014-01-22,0
727,멋진 악몽,일본,(주)영화사 조제,76985,131238,15세이상관람가,드라마,2012-04-19,19,347,2012-05-02,6091
728,클로즈드 시즌: 욕망의 계절,독일,(주)고맙습니다 사랑합니다,0,0,청소년관람불가,액션|스릴러,2014-01-16,6,49,2014-01-29,189
729,사대명포 2,홍콩,(주)씨타마운틴픽쳐스,60721,0,전체관람가,코미디|드라마,2014-01-16,5,90,2014-01-29,1700
730,겨울왕국,미국,(주)씨타마운틴픽쳐스,510622,427386,청소년관람불가,드라마,2014-01-16,676,160592,2014-01-29,3900023
731,투 러버스,미국,(주)디앤아이컴퍼니 ,29444,0,15세이상관람가,액션,2014-01-23,5,200,2014-02-05,0
732,크레이지 호스,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),5927,26361,전체관람가|전체관람가,애니메이션|어드벤처|가족|코미디|뮤지컬|판타지,2012-04-19,3,9,2012-05-02,944
733,찌라시: 위험한 소문,한국,(주)수키픽쳐스,618520,10755343,청소년관람불가,멜로/로맨스,2014-02-20,466,91576,2014-03-05,1090706
